name	id	Continent	Years	population	fertility	life_expectancy
Afghanistan	AFG	asia	1960	8996351	7.45	32.292
Albania	ALB	europe	1960	1608800	6.489	62.279
Algeria	DZA	africa	1960	11124888	7.524	46.138
American Samoa	ASM	Other	1960	20013	#N/A	#N/A
Andorra	AND	europe	1960	13411	#N/A	#N/A
Angola	AGO	africa	1960	5643182	7.478	33.251
Antigua and Barbuda	ATG	north america	1960	55339	4.425	62.115
Arab World	ARB	Other	1960	92490932	6.948746671	46.825065
Argentina	ARG	South America	1960	20619075	3.109	65.022
Armenia	ARM	europe	1960	1874120	4.786	65.971
Aruba	ABW	Other	1960	54211	4.82	65.662
Australia	AUS	oceania	1960	10276477	3.453	70.81707317
Austria	AUT	europe	1960	7047539	2.69	68.58560976
Azerbaijan	AZE	europe	1960	3895396	5.878	61.035
Bahamas, The	BHS	Other	1960	109528	4.495	62.881
Bahrain	BHR	asia	1960	162427	7.087	51.868
Bangladesh	BGD	asia	1960	48199747	6.725	45.831
Barbados	BRB	north america	1960	230939	4.333	61.002
Belarus	BLR	europe	1960	8198000	2.67	67.70809756
Belgium	BEL	europe	1960	9153489	2.54	69.70195122
Belize	BLZ	north america	1960	92064	6.5	59.981
Benin	BEN	africa	1960	2431622	6.282	37.271
Bermuda	BMU	Other	1960	44400	#N/A	#N/A
Bhutan	BTN	asia	1960	223288	6.67	34.526
Bolivia	BOL	South America	1960	3693449	6.7	42.138
Bosnia and Herzegovina	BIH	europe	1960	3225668	3.801	60.353
Botswana	BWA	africa	1960	524552	6.615	50.661
Brazil	BRA	South America	1960	72207554	6.07	54.241
British Virgin Islands	VGB	Other	1960	8033	#N/A	#N/A
Brunei Darussalam	BRN	Other	1960	81745	6.836	62.467
Bulgaria	BGR	europe	1960	7867374	2.31	69.24756098
Burkina Faso	BFA	Other	1960	4829288	6.291	34.432
Burundi	BDI	africa	1960	2786106	6.953	41.281
Cabo Verde	CPV	Other	1960	202310	6.885	48.928
Cambodia	KHM	asia	1960	5722370	6.967	41.242
Cameroon	CMR	africa	1960	5176268	5.647	41.546
Canada	CAN	north america	1960	17909009	3.811	71.13317073
Caribbean small states	CSS	Other	1960	4198307	5.599965278	62.37069108
Cayman Islands	CYM	Other	1960	7865	#N/A	#N/A
Central African Republic	CAF	africa	1960	1503508	5.84	36.489
Central Europe and the Baltics	CEB	Other	1960	91401583	2.497081713	67.821395
Chad	TCD	africa	1960	3001593	6.25	38.019
Channel Islands	CHI	Other	1960	109420	2.421	70.739
Chile	CHL	South America	1960	7716625	5.102	57.285
China	CHN	asia	1960	667070000	5.748	43.725
Colombia	COL	South America	1960	16480383	6.807	56.752
Comoros	COM	africa	1960	191121	6.792	41.447
Congo, Dem. Rep.	COD	Other	1960	15248251	6.001	41.098
Congo, Rep.	COG	Other	1960	1037220	5.88	48.602
Costa Rica	CRI	north america	1960	1333040	6.451	60.556
Cote d'Ivoire	CIV	Other	1960	3558988	7.691	36.865
Croatia	HRV	europe	1960	4140000	2.288	64.60865854
Cuba	CUB	north america	1960	7141135	4.182	63.834
Curacao	CUW	Other	1960	124826	#N/A	#N/A
Cyprus	CYP	europe	1960	572930	3.5	69.618
Czech Republic	CZE	europe	1960	9602006	2.09	70.34878049
Denmark	DNK	europe	1960	4579603	2.57	72.17658537
Djibouti	DJI	africa	1960	83636	6.461	44.038
Dominica	DMA	north america	1960	60011	#N/A	#N/A
Dominican Republic	DOM	north america	1960	3294042	7.555	51.787
Early-demographic dividend	EAR	Other	1960	979287407	6.146105127	45.21142304
East Asia & Pacific	EAS	Other	1960	1039944591	5.391719747	48.45526401
East Asia & Pacific (excluding high income)	EAP	Other	1960	893956327	5.819895602	45.72463283
East Asia & Pacific (IDA & IBRD countries)	TEA	Other	1960	882521780	5.840029288	45.65249612
Ecuador	ECU	South America	1960	4545550	6.721	53.236
Egypt, Arab Rep.	EGY	Other	1960	26996533	6.716	48.056
El Salvador	SLV	north america	1960	2762899	6.674	49.969
Equatorial Guinea	GNQ	africa	1960	255323	5.653	36.74
Eritrea	ERI	africa	1960	1397491	6.899	38.418
Estonia	EST	europe	1960	1211537	1.98	67.90290244
Ethiopia	ETH	africa	1960	22151278	6.88	38.419
Euro area	EMU	Other	1960	265396502	2.601165875	69.27448368
Europe & Central Asia	ECS	Other	1960	667246384	2.834524904	67.03744565
Europe & Central Asia (excluding high income)	ECA	Other	1960	279087938	3.134307836	63.41428579
Europe & Central Asia (IDA & IBRD countries)	TEC	Other	1960	308725388	3.12044842	63.83411242
European Union	EUU	Other	1960	409498463	2.583629529	69.28004472
Faroe Islands	FRO	Other	1960	34661	#N/A	#N/A
Fiji	FJI	oceania	1960	393386	6.461	55.86
Finland	FIN	europe	1960	4429634	2.72	68.8197561
Fragile and conflict affected situations	FCS	Other	1960	121765037	6.589307937	40.64959181
France	FRA	europe	1960	46814237	2.85	69.86829268
French Polynesia	PYF	Other	1960	78076	5.658	56.282
Gabon	GAB	africa	1960	499184	4.384	39.587
Gambia, The	GMB	Other	1960	367928	5.573	32.035
Georgia	GEO	europe	1960	3645600	2.942	63.651
Germany	DEU	europe	1960	72814900	2.37	69.31002439
Ghana	GHA	africa	1960	6652287	6.749	45.844
Gibraltar	GIB	Other	1960	23394	#N/A	#N/A
Greece	GRC	europe	1960	8331725	2.23	68.16390244
Greenland	GRL	Other	1960	32500	#N/A	#N/A
Grenada	GRD	north america	1960	89869	6.743	60.068
Guam	GUM	Other	1960	66742	6.052	60.97
Guatemala	GTM	north america	1960	4210747	6.896	46.702
Guinea	GIN	africa	1960	3577409	6.114	34.89
Guinea-Bissau	GNB	africa	1960	616409	5.921	37.854
Guyana	GUY	South America	1960	571819	6.372	60.26
Haiti	HTI	north america	1960	3866159	6.324	42.113
Heavily indebted poor countries (HIPC)	HPC	Other	1960	162495580	6.748298984	39.57459233
High income	HIC	Other	1960	754609927	3.036898217	68.4973559
Honduras	HND	north america	1960	2038637	7.458	46.274
Hong Kong SAR, China	HKG	Other	1960	3075605	5.014	66.96168293
Hungary	HUN	europe	1960	9983967	2.02	68.00317073
IBRD only	IBD	Other	1960	1917374485	5.429879642	48.67398446
Iceland	ISL	europe	1960	175574	4.29	73.42317073
IDA & IBRD total	IBT	Other	1960	2299864225	5.626222657	47.55016916
IDA blend	IDB	Other	1960	123195063	6.447344522	43.60510057
IDA only	IDX	Other	1960	259294677	6.689484769	41.11858152
IDA total	IDA	Other	1960	382489740	6.612332947	41.9212242
India	IND	asia	1960	449480608	5.906	41.174
Indonesia	IDN	asia	1960	87792515	5.666	48.651
Iran, Islamic Rep.	IRN	Other	1960	21906903	6.927	44.947
Iraq	IRQ	asia	1960	7289761	6.252	48.022
Ireland	IRL	europe	1960	2828600	3.78	69.7965122
Isle of Man	IMN	Other	1960	48442	#N/A	#N/A
Israel	ISR	asia	1960	2114020	3.866	#N/A
Italy	ITA	europe	1960	50199700	2.37	69.12390244
